modelo,epocas,centrada,transladada,variacao_media_logit
MLP,30,0.7488888888888889,0.5533333333333333,12.812051
MLP + translações,90,0.7066666666666667,0.7111111111111111,0.72597146
CNN circular,30,0.5444444444444444,0.5444444444444444,0.00021652321
CNN zero,30,0.5622222222222222,0.5777777777777777,0.17251655
