tarefa,modelo,MSE,MSE_normalizado,parametros,erro_permutacao
diametro,MLP sem ordem,0.02166006956070592,0.2839089435847649,8513,0.65883493
diametro,MLP ordenada,0.009628375064748212,0.12620374027005052,8513,0.0
diametro,DeepSets,0.009165268712467919,0.1201335826985433,2241,2.3841858e-07
diametro,Atenção,0.0010193106794782912,0.013360595051843362,10849,2.3841858e-07
distancia_media,MLP sem ordem,0.0021362532768665534,0.08701549743529062,8513,0.23905957
distancia_media,MLP ordenada,0.00019624093503244324,0.007993435405778102,8513,0.0
distancia_media,DeepSets,0.0012672436351636568,0.0516183340615935,2241,1.1920929e-07
distancia_media,Atenção,0.0003219634036832168,0.013114458866295035,10849,1.1920929e-07
