t,modos_abaixo_1e6,lambda2,ARI
0.001,22,-1.471031382377333e-16,1.0
0.0017782794100389228,10,4.159365224563638e-16,1.0
0.0031622776601683794,2,1.1071066177090688e-16,1.0
0.005623413251903491,2,-2.984920015091012e-17,1.0
0.01,2,9.820332173012539e-18,1.0
0.01778279410038923,2,4.182205384120306e-12,1.0
0.03162277660168379,2,2.913475840577551e-08,1.0
0.056234132519034905,1,8.190160894665727e-06,1.0
0.1,1,0.0005977965612337968,1.0
0.1778279410038923,1,0.013469277204812835,1.0
0.31622776601683794,1,0.06801762971688385,0.016041256505080353
0.5623413251903491,1,0.1610163018225378,0.0008222554611917275
1.0,1,0.2819760058814027,-0.001385031075258695
1.7782794100389228,1,0.4275116667145067,-0.0015610932532987146
3.1622776601683795,1,0.5857318488879328,-0.0015610932532987146
5.62341325190349,1,0.727871948299199,-0.001615950908789487
10.0,1,0.833748721055434,-0.001615950908789487
