superficie,MSE,MAE,baseline_MSE
elipsoide inédito,0.1289246090433808,0.27292659985801937,0.13464140945100617
esfera inédita,0.018987249576380483,0.10262307729613206,0.007450990775354312
toro inédito,1.0208212601294107,0.6984173832265526,1.1957429240439004
