N,k,dim_local,raio,s4_s1
4000,12,3.0,0.2330213657587191,0.04998335343103671
4000,24,3.0,0.2965971287079727,0.07183186994966674
4000,48,3.375,0.37667374704311934,0.09770094791180857
12000,12,3.0,0.15969022438723562,0.03196006828745361
12000,24,3.0,0.20644796453614706,0.05054002663211069
12000,48,3.0,0.26252272834812124,0.06882811992781894
30000,12,3.0,0.12202302713893462,0.02763808098959596
30000,24,3.0,0.1566396055580671,0.038393368859165486
30000,48,3.0,0.19806626557771306,0.05077463501361971
