base,colunas,posto,condicao_na_imagem,MSE
monômios,84,49,164.25990000455548,0.005695312027381245
QR do espaço efetivo,49,49,4.279222874331634,0.005695312027381388
harmônicos reais,49,49,4.279297638872803,0.0056953120273814314
