N,repeticao,MSE_sem_ruido,MSE_com_ruido
10,0,0.3783842701957571,0.4004459944867097
10,1,0.258055282521624,0.28033638024900587
10,2,0.39225906227559515,0.4137391498295321
10,3,0.5566859887490481,0.5780835975242188
10,4,0.3852909670581739,0.40833288891615876
10,5,3.289492856401967,3.3225904990265325
10,6,0.18438098136176578,0.20487103592512274
10,7,0.22158049820653825,0.2452509212105039
10,8,0.2457555517980634,0.2674549040363314
10,9,0.3493360569967219,0.37365195984304306
10,10,0.5061069281357508,0.5325256781070814
10,11,0.42389811762703583,0.4462800937563232
10,12,0.13434277899251368,0.15823510296087237
10,13,0.3489881577960511,0.3721356108229816
10,14,0.22291113933565468,0.2439770192604633
10,15,0.38514085104043216,0.40539709997240214
10,16,0.3598627203703495,0.3838980098123005
10,17,0.1544094155385308,0.17726542845281446
10,18,0.6275582041513442,0.6478076065251265
10,19,0.46137761584893255,0.4895507934530744
20,0,0.21292163461846667,0.2340324501952122
20,1,0.34553887879034173,0.3687009242428735
20,2,0.05750674976090617,0.08013102950737132
20,3,0.14870732889958094,0.17029490884493687
20,4,1.1841413804594099,1.2058174122229037
20,5,0.2766016985550169,0.29911063885158545
20,6,0.14493547979755095,0.16722396428507694
20,7,0.04081283932011449,0.06300373534874075
20,8,0.7449029837870852,0.7685065988892399
20,9,0.17161184288832995,0.1950191124148414
20,10,0.3564352792104799,0.3783702099308517
20,11,0.18486037764987656,0.2059098678351503
20,12,0.11557142653999451,0.13715107629179848
20,13,0.5834281576858863,0.6046646449594374
20,14,0.06579200419227825,0.08903167938796704
20,15,0.02361663839003948,0.0459251181722292
20,16,0.08172849255872879,0.10476315727166667
20,17,0.5018437859303828,0.5219576768188136
20,18,0.13284143948741367,0.15295526329414155
20,19,0.05221644323821099,0.07461218377615697
40,0,0.00822624777124043,0.030728362851233575
40,1,0.017132404188939382,0.03955621165108299
40,2,0.016218310673401876,0.03936887869459175
40,3,0.008338316085247474,0.030577004272345183
40,4,0.0107181500201931,0.032496845324243004
40,5,0.06563099265253877,0.08802402760363183
40,6,0.030759083193082945,0.0525721960285912
40,7,0.008654131642605027,0.030895312961423164
40,8,0.0085741116881329,0.03094101260774149
40,9,0.011212722394677504,0.0334623978152947
40,10,0.015582272630853803,0.038220542214229346
40,11,0.01347551270018558,0.03618713423848064
40,12,0.037694136409066485,0.060152252939340047
40,13,0.014452146412677707,0.037292898746520545
40,14,0.014669409327502951,0.03696974974149345
40,15,0.020204505833765797,0.0430167827169392
40,16,0.024871728570050947,0.04697671254513029
40,17,0.014064050144422404,0.036496636330821626
40,18,0.009359882827659628,0.03215971328563011
40,19,0.015542236988295911,0.03821222913804444
80,0,0.008842576277335742,0.030710202344833216
80,1,0.00850824527770747,0.03090327671046735
80,2,0.01102834989636942,0.03383149788757826
80,3,0.0027025432898201856,0.025325741352038487
80,4,0.007323002902392912,0.0296671358016674
80,5,0.003231201781697116,0.025608391241344113
80,6,0.003570866662836372,0.02598730909620192
80,7,0.004652216714847429,0.02747552875451977
80,8,0.004739724123928577,0.027493466999895185
80,9,0.004433855152067785,0.02721508144133027
80,10,0.0035975164789429073,0.025830729362533597
