base,iteracao,erro_coeficientes,limite_teorico,kappa
monômios independentes,1,0.9797955716563741,0.9999158673795866,11885.996122382494
monômios independentes,2,0.9619707577549793,0.999831741837471,11885.996122382494
monômios independentes,3,0.9461290451077856,0.9997476233730578,11885.996122382494
monômios independentes,5,0.9192823110347881,0.9995794076749562,11885.996122382494
monômios independentes,10,0.8713369614726311,0.9991589922478165,11885.996122382494
monômios independentes,20,0.8154477530053897,0.998318691789672,11885.996122382494
monômios independentes,50,0.7399213338283455,0.9958020282335776,11885.996122382494
monômios independentes,100,0.6878310611104814,0.9916216794341068,11885.996122382494
monômios independentes,200,0.6296697311024025,0.9833135551237184,11885.996122382494
monômios independentes,500,0.5043872955027701,0.9588045030545583,11885.996122382494
monômios independentes,1000,0.35110614903933046,0.9193060750776987,11885.996122382494
monômios independentes,2500,0.12171262795859181,0.8103083705341112,11885.996122382494
monômios padronizados,1,0.8791160540778015,0.9996694909171633,3025.6354573284198
monômios padronizados,2,0.8332422746619436,0.9993390910705804,3025.6354573284198
monômios padronizados,3,0.8093649949463402,0.9990088004241477,3025.6354573284198
monômios padronizados,5,0.7833388182016642,0.9983485465873787,3025.6354573284198
monômios padronizados,10,0.7494932325460529,0.9966998204731314,3025.6354573284198
monômios padronizados,20,0.703921051052055,0.9934105321311725,3025.6354573284198
monômios padronizados,50,0.6094956802902776,0.9836076553787965,3025.6354573284198
monômios padronizados,100,0.5013467690261307,0.9674840197197733,3025.6354573284198
monômios padronizados,200,0.3476261420663391,0.9360253284131307,3025.6354573284198
monômios padronizados,500,0.11844340174056285,0.8476547534121073,3025.6354573284198
monômios padronizados,1000,0.020631930457688945,0.7185185809821404,3025.6354573284198
monômios padronizados,2500,0.0030521906217846236,0.43761783053782466,3025.6354573284198
harmônicos,1,0.23157363680793278,0.42117580660257736,1.7276402945952825
harmônicos,2,0.07440021491030498,0.17738906006733166,1.7276402945952825
harmônicos,3,0.026601689627143182,0.07471198045633146,1.7276402945952825
harmônicos,5,0.0038225136771682664,0.013253087988917488,1.7276402945952825
harmônicos,10,3.4802297406541475e-05,0.000175644341241989,1.7276402945952825
harmônicos,20,3.0961593693789657e-09,3.085093461033228e-08,1.7276402945952825
harmônicos,50,2.146377989961432e-15,1.6717480032239887e-19,1.7276402945952825
harmônicos,100,2.146699391485735e-15,2.7947413862833933e-38,1.7276402945952825
harmônicos,200,2.1460828447562907e-15,7.810579416205222e-76,1.7276402945952825
harmônicos,500,2.146083957267898e-15,1.704936197643072e-188,1.7276402945952825
harmônicos,1000,2.1463855052170904e-15,0.0,1.7276402945952825
harmônicos,2500,2.147160525521646e-15,0.0,1.7276402945952825
