features,fator_limite,taxa,estavel_teoricamente,kappa,epocas_ate_MSE_1e8,MSE_final
bruto,0.25,0.24584926645473312,True,69905363708.85536,,3.780992239786904e-05
bruto,0.8,0.786717652655146,True,69905363708.85536,,3.286316586536731e-05
bruto,0.99,0.9735630951607431,True,69905363708.85536,,3.131201885067911e-05
bruto,1.01,0.9932310364771219,False,69905363708.85536,,962692081234170.9
padronizado,0.25,0.22429026244502973,True,1.2408497448184053,19.0,2.078155447191603e-31
padronizado,0.8,0.7177288398240952,True,1.2408497448184053,15.0,9.071900410041636e-32
padronizado,0.99,0.8881894392823177,True,1.2408497448184053,344.0,3.170234762856941e-31
padronizado,1.01,0.90613266027792,False,1.2408497448184053,,966072195588962.5
