fonte,intervalo,area_estimada,erro_relativo
espectro analítico,100:500,12.550152578327106,0.0012905903008729265
espectro analítico,1000:5000,12.56397446561097,0.00019067945882992387
grafo,5:20,14.589579909488513,0.16100188011465197
grafo,20:50,25.38068741300737,1.019730930425186
