gamma,separacao_max,componente,autovalor_relativo,lambda1,media_fora_diagonal
0.0001,1.984083571848598,4,0.00031017334437263833,0.14036410642920225,0.9994208420312852
0.00021544346900318845,1.984089157088947,4,0.0006682576990291367,0.3021126819156492,0.9987528903024874
0.00046415888336127773,1.9841011591212643,4,0.0014397608589139757,0.6495265842298743,0.9973161886159826
0.001,1.9841268730653205,4,0.003102064282042263,1.3930985734198205,0.9942318095021552
0.002154434690031882,1.984181607695756,4,0.006684019420096452,2.972537005546592,0.987636936546069
0.004641588833612777,1.984296469452796,4,0.01440337459896912,6.273118683608101,0.9736581037774826
0.01,1.9845299501242748,4,0.03103817706870819,12.932607246537115,0.9445704054852639
0.021544346900318822,1.9849701051114885,4,0.06683081821422748,25.395917946252137,0.8863422278146471
0.046415888336127774,1.9856427492274074,4,0.14312318488037587,45.25642408836624,0.7785887598913263
0.1,1.985889170894977,4,0.2986098828408317,67.57866651065571,0.606845003721459
0.21544346900318823,1.9794287383678368,4,0.5649267453173881,77.34500709791668,0.3936467881584487
0.46415888336127775,1.778231463590911,4,0.8188385406915338,67.43004675844203,0.20525668295519733
1.0,1.7369751617966762,4,0.8048929638355852,52.4598795891371,0.08881656262550526
2.154434690031882,1.8591851545796447,4,0.7005121319818646,34.85789415405025,0.036430075295040734
4.641588833612772,0.43019803981669236,5,0.7556878789736358,19.602375687040574,0.01609911156611705
10.0,0.35054547763368205,3,0.8931979903076734,10.730772307659473,0.007256157094107498
21.54434690031882,0.3005316189446156,5,0.8293177036737884,6.5526115085616174,0.0031802123040363156
46.41588833612773,0.1978027178296386,2,0.9367931340105247,4.419102865199137,0.0013200727688528102
100.0,0.17546250267170094,1,1.0,3.1146294509197054,0.0005077559371190184
215.44346900318823,0.16717633692826456,1,1.0,2.1005547306680223,0.00018399055001261665
464.1588833612773,0.14459599993264222,5,0.8690244825800614,1.835194133854773,6.566410777850577e-05
1000.0,0.13139438865537373,5,0.7896964506735165,1.6802110241313877,2.261616281622236e-05
