superficie,metodo,entrada,knn_preservado,knn_preservado,knn_ambiente,knn_ambiente,correlacao_global,correlacao_global,fracao_arestas_estiradas,fracao_arestas_estiradas
,,,mean,std,mean,std,mean,std,mean,std
esfera,PCA,ambiente,0.4922222222222222,,0.49018518518518517,,0.7923640999065232,,0.0,
esfera,t-SNE,ambiente,0.7774691358024692,0.05251330747798205,0.7789506172839507,0.055573222499553765,0.7002453067195122,0.029176168463668394,0.09730452674897119,0.06350057185666964
esfera,t-SNE,intrinseca,0.7817695473251028,0.05777971500128949,0.7761316872427984,0.05826108433224501,0.6956001173790429,0.02860303004423718,0.08825102880658436,0.05483202550686775
toro,PCA,ambiente,0.46166666666666667,,0.46148148148148155,,0.6637178039027749,,0.0,
toro,t-SNE,ambiente,0.7616049382716049,0.03681065070719303,0.7621399176954733,0.03691961840040989,0.5781432908468038,0.056682593445194156,0.11156378600823046,0.035006136919243744
toro,t-SNE,intrinseca,0.752633744855967,0.033272163237717214,0.7531069958847737,0.033412813907412846,0.5897992822967351,0.047474722316509066,0.11141975308641976,0.03258233213916534
