perplexidade,semente,knn_preservado,correlacao_global,fracao_arestas_estiradas
5,0,-0.0009259259259259967,0.041026198793651214,-0.007777777777777772
5,1,-0.00037037037037024323,-0.002672617688605161,0.00740740740740739
5,2,-0.00037037037037035425,-0.0014853143757493914,-0.0014814814814814725
30,0,-0.0011111111111110628,0.0007520293357881069,0.0
30,1,-0.004074074074073897,-0.00047017274281213606,-0.004259259259259254
30,2,-0.0037037037037037646,-0.0003402625123989367,-0.004629629629629636
100,0,0.012037037037036957,-0.002294642104679556,-0.008518518518518522
100,1,-0.03166666666666651,0.05771358477171595,0.0050000000000000044
100,2,-0.050555555555555576,0.012675119572470472,0.012962962962962968
