y1,y2,theta,phi
-5.416424274444580078e+00,3.553412914276123047e+00,9.311925801443895478e-01,1.652466492683413168e+00
-2.545366048812866211e+00,2.353391885757446289e+00,2.085951986838933347e+00,6.099039974104923267e+00
1.862191200256347656e+00,5.682184696197509766e+00,3.158266869990192571e+00,4.731075407404299327e+00
-6.402259826660156250e+00,1.201742172241210938e+00,2.057552938785677910e+00,1.381861996649015323e+00
4.169302463531494141e+00,1.906663298606872559e+00,1.060123681324946832e+00,3.164140768382634139e+00
8.711961746215820312e+00,4.335601627826690674e-01,4.186003101164114781e+00,2.424558224244254490e+00
-5.084462165832519531e+00,2.914922952651977539e+00,1.065379070866575351e+00,1.248724446624367657e+00
-2.639386653900146484e+00,-5.275618433952331543e-01,3.051610076251261017e+00,5.350449174724511536e+00
1.500147104263305664e+00,5.856227874755859375e+00,3.258850951576415245e+00,4.871707508841081946e+00
-1.659636497497558594e+00,-2.571220874786376953e+00,4.296330413449937602e+00,5.369431639002390177e+00
3.878133535385131836e+00,2.167414903640747070e+00,1.147675693736740721e+00,3.376960942078887307e+00
8.519466400146484375e+00,2.987416744232177734e+00,3.706831346702784025e+00,2.315815449416723126e+00
2.016146898269653320e+00,-1.616212725639343262e+00,5.797945001963035416e+00,5.007148913965945525e+00
-1.514230251312255859e+00,-7.706786632537841797e+00,4.110404581097514942e+00,1.810032565793384229e+00
-4.126142024993896484e+00,1.846025586128234863e+00,1.401236957959854479e+00,6.029095184188155709e-01
-7.437864303588867188e+00,-1.998606562614440918e+00,3.404893283858157371e+00,1.722963698327843352e+00
-2.863308429718017578e+00,1.542888402938842773e+00,1.410709531738642886e+00,1.621696334902198444e-01
2.374216794967651367e+00,6.950984477996826172e+00,4.131824371366533910e+00,4.738305195880288423e+00
-5.538039207458496094e-01,-8.007278442382812500e+00,4.416674104832837955e+00,1.978302902580934441e+00
4.241398334503173828e+00,1.911304950714111328e+00,1.068721517521439068e+00,3.091574804958944878e+00
-2.948139905929565430e+00,-4.385163307189941406e+00,4.316424983941156590e+00,2.386552968974632871e-01
-5.673327922821044922e+00,-1.482870936393737793e+00,2.897087575937414616e+00,6.991834286647661267e-01
-6.933894008398056030e-02,2.070969581604003906e+00,1.240881732454452768e+00,5.316468569893499030e+00
2.742533683776855469e+00,2.585971951484680176e-01,3.393364761198545687e-01,4.388198104827169210e+00
-2.370124101638793945e+00,-5.491252422332763672e+00,4.571561576447030539e+00,6.680970163639035064e-01
2.924682378768920898e+00,1.443307161331176758e+00,8.175700941839194602e-01,4.043200977730628587e+00
7.448475837707519531e+00,2.996220588684082031e+00,3.504889830957936159e+00,3.076805510409992284e+00
4.089395999908447266e+00,-5.080100059509277344e+00,6.147516213569956811e+00,2.356143027262577405e+00
-4.141522884368896484e+00,8.574063181877136230e-01,2.083966755686661010e+00,3.141734339903932138e-01
7.422449111938476562e+00,8.812829852104187012e-02,4.368999661959502845e+00,3.621643893188043251e+00
2.025906085968017578e+00,3.991454601287841797e+00,2.055522473554129537e+00,4.402132790264392526e+00
2.941196441650390625e+00,-5.294967174530029297e+00,1.521727983215173663e-01,1.886303886104414795e+00
-5.880148410797119141e+00,2.989307641983032227e+00,1.337853446901329457e+00,1.634510959912722106e+00
-4.672318458557128906e+00,1.069508671760559082e+00,1.890336237652279205e+00,6.068733296773504149e-01
-4.041875600814819336e-01,-3.164499044418334961e+00,5.129337052482124015e+00,5.807098735440949788e+00
-5.210457801818847656e+00,-1.736126422882080078e+00,2.960580524993918328e+00,4.759559104770257898e-01
3.883701801300048828e+00,-2.774899303913116455e-01,9.182297580460771491e-02,3.872353020510762356e+00
-2.676609992980957031e+00,2.067425727844238281e+00,1.915329856162789390e+00,6.179217447070085356e+00
4.447412014007568359e+00,-2.191541910171508789e+00,5.226945206690579937e+00,4.220187148485815776e+00
-4.260381221771240234e+00,-2.993375301361083984e+00,3.512806563262675486e+00,1.314209297738784810e-01
4.536771774291992188e+00,7.597380280494689941e-01,5.247624230378546972e-01,3.054278362112659462e+00
-9.056437611579895020e-01,-4.994502961635589600e-01,3.674137263418379984e-01,2.022750534028698033e-01
-6.682317256927490234e+00,3.936879932880401611e-01,2.403239787651872295e+00,1.370823794088156689e+00
2.155920982360839844e+00,5.939338207244873047e+00,3.336512097902775587e+00,4.695069342851458494e+00
8.808835744857788086e-01,-7.369748115539550781e+00,5.092310887327997193e+00,1.841105987568917079e+00
2.423497676849365234e+00,6.953543663024902344e+00,4.140164092424429398e+00,4.722251238585015720e+00
-5.459989070892333984e+00,-6.365090012550354004e-01,2.600861043219306445e+00,6.712635771083909075e-01
3.425186634063720703e+00,-5.723368167877197266e+00,5.959460722509809294e+00,2.124950373954392902e+00
-3.256282091140747070e+00,1.616790175437927246e+00,1.819953560324155895e+00,1.344069631051910130e-01
7.501958847045898438e+00,4.635131359100341797e+00,2.978925101072348980e+00,2.296610067909531150e+00
-3.521961212158203125e+00,-6.045021057128906250e+00,4.079788788967666058e+00,1.253883566830128471e+00
1.955211997032165527e+00,5.763293266296386719e+00,3.210224570240514108e+00,4.725498680414693453e+00
-2.305819511413574219e+00,-3.599764347076416016e+00,4.381118426797244503e+00,6.007227653787212240e+00
-4.437514781951904297e+00,-2.791016578674316406e+00,3.418677398833714243e+00,1.653691301157260984e-01
3.115841627120971680e+00,3.896521806716918945e+00,1.953440025814493497e+00,3.940977385100361996e+00
-5.088137388229370117e-01,7.501384615898132324e-01,7.202122927980657563e-01,5.750928053979573740e+00
7.764253139495849609e+00,3.354518651962280273e+00,3.444124412011506209e+00,2.754447949504044590e+00
-4.665964603424072266e+00,-5.174682140350341797e+00,3.856309376507117026e+00,1.207430458762727588e+00
-4.877389907836914062e+00,-3.199531316757202148e+00,3.467712717921641818e+00,4.370416454214327007e-01
3.401661396026611328e+00,4.108510494232177734e+00,2.059698110359190260e+00,3.885192293784867523e+00
-5.266026496887207031e+00,4.072829723358154297e+00,7.583137223378469960e-01,1.827298221979747561e+00
1.353946328163146973e+00,-5.119166374206542969e+00,6.278533200129261083e+00,1.023150986064737200e+00
2.100770473480224609e+00,-5.749745368957519531e+00,6.131013010528649332e+00,1.523474483731441120e+00
-5.083473682403564453e+00,1.949728727340698242e+00,1.504685708999652149e+00,9.710631216043773550e-01
-3.482980728149414062e+00,1.526596665382385254e+00,1.760778894595906197e+00,2.264482598122715962e-01
4.678428649902343750e+00,-5.658166483044624329e-02,1.544073547317624251e-01,3.268150963829136391e+00
-2.875033617019653320e+00,-1.610365629196166992e+00,3.474804780373920821e+00,5.530317292748076596e+00
-4.731853961944580078e+00,-2.477654695510864258e+00,3.274699994546912851e+00,2.543788807819034048e-01
-7.210932731628417969e+00,7.107621431350708008e-02,2.599449537310066560e+00,1.605357188337640961e+00
6.594142436981201172e+00,-1.212111234664916992e+00,4.895487734209877040e+00,3.704862821111110538e+00
-1.840809226036071777e+00,3.011984348297119141e+00,2.237016202726811009e+00,5.795819349745730875e+00
-1.394590258598327637e+00,3.250568866729736328e+00,2.229258494069345620e+00,5.650364331318973754e+00
2.230868339538574219e+00,1.526674985885620117e+00,8.422957371639380186e-01,4.374691184262909260e+00
2.564734697341918945e+00,2.086172342300415039e+00,1.061202041132613072e+00,4.163546141534964384e+00
-2.433899879455566406e+00,-6.803168296813964844e+00,4.159716059462962967e+00,1.391244626428973286e+00
3.753808438777923584e-01,6.416079401969909668e-02,3.398958299082991963e-01,5.398323130497514555e+00
8.064599990844726562e+00,1.299352169036865234e+00,4.101907046426630288e+00,3.075074604942301004e+00
-2.117630004882812500e+00,-4.702566623687744141e+00,4.631658846320874545e+00,2.678816616415204965e-01
3.837939977645874023e+00,-4.374103546142578125e+00,3.819449178197551475e-01,2.427642496543230166e+00
1.765769958496093750e+00,-5.237627029418945312e+00,1.126384073997743346e-01,1.226332596048830714e+00
1.230770707130432129e+00,-6.704398632049560547e+00,5.444800560358342700e+00,1.601776198099596815e+00
1.690627932548522949e+00,-5.138326168060302734e+00,1.388099710593195257e-01,1.172302460501750465e+00
5.295193791389465332e-01,-2.666523456573486328e+00,5.431585223758660597e+00,5.613466668735042298e+00
5.126110076904296875e+00,-6.136189699172973633e-01,6.179390930521462266e+00,3.108257102889138590e+00
2.250817775726318359e+00,6.851803779602050781e+00,4.041934810631488517e+00,4.765016683225598904e+00
7.228130817413330078e+00,3.382074594497680664e+00,3.346808491129531937e+00,3.049136355708005564e+00
7.074824810028076172e+00,-1.980228066444396973e+00,4.942429226850967083e+00,3.169060569331258126e+00
-6.577131152153015137e-01,5.297843813896179199e-01,6.665119787769694382e-01,5.873233242672435850e+00
3.051539063453674316e-01,-7.763866424560546875e+00,4.804971637305747834e+00,1.936714058552143181e+00
1.450853109359741211e+00,2.944546937942504883e+00,1.513069084351085225e+00,4.641409365035524814e+00
-5.905298233032226562e+00,1.626216918230056763e-01,2.384435524216091284e+00,9.694091999967586748e-01
2.822933912277221680e+00,6.213940620422363281e+00,3.591689867903532285e+00,4.434730741820463784e+00
-5.598383545875549316e-01,2.964897394180297852e+00,1.797929552884329318e+00,5.393070848555065133e+00
2.124782085418701172e+00,3.607257127761840820e+00,1.835165597211103394e+00,4.347468239336927276e+00
-6.915464878082275391e+00,-1.752433538436889648e+00,3.201983650136439152e+00,1.407241290344613871e+00
-8.020920753479003906e+00,5.487222075462341309e-01,2.731726649246330574e+00,2.209248451949282099e+00
4.989702224731445312e+00,-1.738392472267150879e+00,5.606127939465752164e+00,3.865582538946118252e+00
-6.049307346343994141e+00,2.517303228378295898e+00,1.551975677349335614e+00,1.561940464949284069e+00
7.424132347106933594e+00,4.043290138244628906e+00,3.144646595554842605e+00,2.632066276137044358e+00
3.868217945098876953e+00,-8.968682885169982910e-01,6.091115087055947619e+00,4.094484316909114519e+00
2.669245719909667969e+00,-5.604146480560302734e+00,6.273011046304581839e+00,1.760909702180201375e+00
3.054318428039550781e+00,-1.445163130760192871e+00,5.830788358682418071e+00,4.590662908064843784e+00
-2.987749814987182617e+00,-2.252603530883789062e+00,3.676031481074811147e+00,5.699089489961749244e+00
-5.195412635803222656e+00,4.099925160408020020e-01,2.215335764218403281e+00,6.682602485974515893e-01
1.339301943778991699e+00,-6.949040412902832031e+00,5.368208549871993363e+00,1.729210385572140796e+00
1.407185494899749756e-01,-5.449596405029296875e+00,5.549395883134262242e+00,8.039176473685910596e-01
-1.507159709930419922e+00,-3.815451383590698242e+00,4.735697087761704616e+00,6.036646116505532511e+00
-7.355000019073486328e+00,-1.076029911637306213e-01,2.677590448299087988e+00,1.666227987888370343e+00
