y1,y2,theta,phi
1.982393026351928711e+00,9.071739196777343750e+00,9.311925801443895478e-01,1.652466492683413168e+00
1.534603595733642578e+01,1.272883701324462891e+01,2.085951986838933347e+00,6.099039974104923267e+00
1.125765085220336914e+00,-2.040292501449584961e+00,3.158266869990192571e+00,4.731075407404299327e+00
-7.296339869499206543e-01,1.434031009674072266e+01,2.057552938785677910e+00,1.381861996649015323e+00
1.183357715606689453e+01,-1.063057994842529297e+01,1.060123681324946832e+00,3.164140768382634139e+00
-1.870643234252929688e+01,-1.345382881164550781e+01,4.186003101164114781e+00,2.424558224244254490e+00
2.326209783554077148e+00,1.108253288269042969e+01,1.065379070866575351e+00,1.248724446624367657e+00
1.433704948425292969e+01,7.178436279296875000e+00,3.051610076251261017e+00,5.350449174724511536e+00
2.707418501377105713e-01,-2.409816026687622070e+00,3.258850951576415245e+00,4.871707508841081946e+00
-2.728787183761596680e+00,-5.217736721038818359e+00,4.296330413449937602e+00,5.369431639002390177e+00
1.263816642761230469e+01,-1.053936386108398438e+01,1.147675693736740721e+00,3.376960942078887307e+00
4.922285079956054688e+00,-5.624346137046813965e-01,3.706831346702784025e+00,2.315815449416723126e+00
-5.785387039184570312e+00,-4.029779911041259766e+00,5.797945001963035416e+00,5.007148913965945525e+00
-1.968634223937988281e+01,-1.166258525848388672e+01,4.110404581097514942e+00,1.810032565793384229e+00
4.036821842193603516e+00,1.526716613769531250e+01,1.401236957959854479e+00,6.029095184188155709e-01
-5.525041580200195312e+00,1.134700393676757812e+01,3.404893283858157371e+00,1.722963698327843352e+00
7.006083488464355469e+00,1.609444236755371094e+01,1.410709531738642886e+00,1.621696334902198444e-01
-7.026612758636474609e-01,-5.771748065948486328e+00,4.131824371366533910e+00,4.738305195880288423e+00
-1.839659690856933594e+01,-1.191166687011718750e+01,4.416674104832837955e+00,1.978302902580934441e+00
1.160167312622070312e+01,-1.022072410583496094e+01,1.068721517521439068e+00,3.091574804958944878e+00
-1.411246299743652344e+01,4.978485107421875000e+00,4.316424983941156590e+00,2.386552968974632871e-01
-6.071890830993652344e+00,1.609496498107910156e+01,2.897087575937414616e+00,6.991834286647661267e-01
1.188015174865722656e+01,1.207478237152099609e+01,1.240881732454452768e+00,5.316468569893499030e+00
9.935585021972656250e+00,-1.673330116271972656e+01,3.393364761198545687e-01,4.388198104827169210e+00
-1.613480186462402344e+01,4.030601024627685547e+00,4.571561576447030539e+00,6.680970163639035064e-01
1.193026733398437500e+01,-1.475642299652099609e+01,8.175700941839194602e-01,4.043200977730628587e+00
7.098565101623535156e+00,-2.798100471496582031e+00,3.504889830957936159e+00,3.076805510409992284e+00
-9.115454673767089844e+00,-1.189607429504394531e+01,6.147516213569956811e+00,2.356143027262577405e+00
1.116287231445312500e+00,1.791435813903808594e+01,2.083966755686661010e+00,3.141734339903932138e-01
3.731739282608032227e+00,-7.739649295806884766e+00,4.368999661959502845e+00,3.621643893188043251e+00
1.680273818969726562e+01,9.970746040344238281e-01,2.055522473554129537e+00,4.402132790264392526e+00
-1.008082199096679688e+01,-9.772570610046386719e+00,1.521727983215173663e-01,1.886303886104414795e+00
3.360892057418823242e+00,9.333384513854980469e+00,1.337853446901329457e+00,1.634510959912722106e+00
1.962816596031188965e+00,1.657886505126953125e+01,1.890336237652279205e+00,6.068733296773504149e-01
-1.043043994903564453e+01,-9.431222081184387207e-02,5.129337052482124015e+00,5.807098735440949788e+00
-7.326018333435058594e+00,1.623564529418945312e+01,2.960580524993918328e+00,4.759559104770257898e-01
8.300762176513671875e+00,-1.533810901641845703e+01,9.182297580460771491e-02,3.872353020510762356e+00
1.476497936248779297e+01,1.363052845001220703e+01,1.915329856162789390e+00,6.179217447070085356e+00
2.348812222480773926e-01,-1.245732212066650391e+01,5.226945206690579937e+00,4.220187148485815776e+00
-1.165125179290771484e+01,9.511352539062500000e+00,3.512806563262675486e+00,1.314209297738784810e-01
9.351288795471191406e+00,-1.143444347381591797e+01,5.247624230378546972e-01,3.054278362112659462e+00
-5.648526668548583984e+00,2.013993740081787109e+00,3.674137263418379984e-01,2.022750534028698033e-01
-2.334683418273925781e+00,1.430916309356689453e+01,2.403239787651872295e+00,1.370823794088156689e+00
8.163470625877380371e-01,-2.996295452117919922e+00,3.336512097902775587e+00,4.695069342851458494e+00
