superficie,metodo,entrada,escala,semente,knn_preservado,correlacao_global,fracao_arestas_estiradas,knn_ambiente
toro,PCA,ambiente,0,0,0.46166666666666667,0.6637178039027749,0.0,0.46148148148148155
toro,t-SNE,ambiente,5,0,0.7201851851851852,0.4612367908005982,0.16462962962962963,0.7201851851851852
toro,t-SNE,ambiente,5,1,0.7214814814814814,0.564597512728472,0.1362962962962963,0.7224074074074075
toro,t-SNE,ambiente,5,2,0.7129629629629629,0.5321427067959021,0.15203703703703703,0.7131481481481481
toro,t-SNE,ambiente,30,0,0.7888888888888889,0.627348677715528,0.10907407407407407,0.7898148148148147
toro,t-SNE,ambiente,30,1,0.7887037037037036,0.6314906298539916,0.11092592592592593,0.7894444444444444
toro,t-SNE,ambiente,30,2,0.7885185185185186,0.6307941745028158,0.11148148148148149,0.789074074074074
toro,t-SNE,ambiente,100,0,0.7483333333333333,0.6146556402193544,0.08722222222222223,0.7488888888888889
toro,t-SNE,ambiente,100,1,0.8131481481481481,0.5593806449890902,0.06277777777777778,0.8135185185185185
toro,t-SNE,ambiente,100,2,0.7722222222222223,0.5816428400154823,0.06962962962962962,0.7727777777777778
toro,t-SNE,intrinseca,5,0,0.7192592592592592,0.5022629895942494,0.15685185185185185,0.7196296296296297
toro,t-SNE,intrinseca,5,1,0.7211111111111111,0.5619248950398669,0.1437037037037037,0.7211111111111111
toro,t-SNE,intrinseca,5,2,0.7125925925925926,0.5306573924201528,0.15055555555555555,0.7125925925925926
toro,t-SNE,intrinseca,30,0,0.7877777777777778,0.6281007070513162,0.10907407407407407,0.7887037037037038
toro,t-SNE,intrinseca,30,1,0.7846296296296297,0.6310204571111795,0.10666666666666667,0.785
toro,t-SNE,intrinseca,30,2,0.7848148148148149,0.6304539119904169,0.10685185185185185,0.7851851851851853
toro,t-SNE,intrinseca,100,0,0.7603703703703703,0.6123609981146748,0.0787037037037037,0.7611111111111111
toro,t-SNE,intrinseca,100,1,0.7814814814814816,0.6170942297608062,0.06777777777777778,0.7820370370370371
toro,t-SNE,intrinseca,100,2,0.7216666666666667,0.5943179595879527,0.08259259259259259,0.7225925925925925
esfera,PCA,ambiente,0,0,0.4922222222222222,0.7923640999065232,0.0,0.49018518518518517
esfera,t-SNE,ambiente,5,0,0.7105555555555556,0.6833925547466106,0.17185185185185184,0.7087037037037037
esfera,t-SNE,ambiente,5,1,0.7140740740740742,0.6892751371619003,0.1812962962962963,0.7103703703703704
esfera,t-SNE,ambiente,5,2,0.7070370370370371,0.6751486801597921,0.18037037037037038,0.705
esfera,t-SNE,ambiente,30,0,0.8127777777777776,0.7148842455258051,0.08148148148148149,0.8164814814814815
esfera,t-SNE,ambiente,30,1,0.8275925925925927,0.7147275214137963,0.0725925925925926,0.8305555555555556
esfera,t-SNE,ambiente,30,2,0.8144444444444444,0.7157548525028714,0.08037037037037037,0.8174074074074075
esfera,t-SNE,ambiente,100,0,0.8248148148148148,0.6448082748077901,0.030925925925925926,0.8312962962962962
esfera,t-SNE,ambiente,100,1,0.7735185185185185,0.7301779116355004,0.04981481481481481,0.7757407407407407
esfera,t-SNE,ambiente,100,2,0.8124074074074075,0.7340385825215434,0.027037037037037037,0.815
esfera,t-SNE,intrinseca,5,0,0.7027777777777777,0.6722206377049347,0.15796296296296297,0.6951851851851852
esfera,t-SNE,intrinseca,5,1,0.7061111111111111,0.6786876866268201,0.17685185185185184,0.7020370370370371
esfera,t-SNE,intrinseca,5,2,0.7153703703703703,0.6736890116476418,0.13444444444444445,0.7087037037037037
esfera,t-SNE,intrinseca,30,0,0.8296296296296297,0.702251925259698,0.07037037037037037,0.8238888888888889
esfera,t-SNE,intrinseca,30,1,0.8309259259259258,0.7102564056359765,0.07666666666666666,0.8275925925925925
esfera,t-SNE,intrinseca,30,2,0.8309259259259258,0.6967604432358651,0.07037037037037037,0.8244444444444444
esfera,t-SNE,intrinseca,100,0,0.8101851851851851,0.7402558195734952,0.03111111111111111,0.8046296296296297
esfera,t-SNE,intrinseca,100,1,0.8307407407407407,0.6546317745196166,0.029074074074074075,0.8259259259259258
esfera,t-SNE,intrinseca,100,2,0.7792592592592593,0.7316473522073385,0.047407407407407405,0.7727777777777778
