largura,MSE_ensemble,media_MSE_individual,melhor_individual_pos_hoc
32,4.3842718648532384e-05,0.00017387377511233075,4.5205710900671025e-05
128,5.837351854643939e-05,0.00014929020819439963,3.0064079571416068e-05
